Departmento,Partido,Color
AMAZONAS,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
AREQUIPA,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
AYACUCHO,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
CAJAMARCA,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
CALLAO,FUERZA POPULAR,Orange
CUSCO,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
HUANCAVELICA,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
HUANUCO,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
ICA,FUERZA POPULAR,Orange
JUNIN,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
LA LIBERTAD,ALIANZA PARA EL PROGRESO,Blue
LAMBAYEQUE,FUERZA POPULAR,Orange
LIMA,RENOVACION POPULAR,Light Blue
LORETO,FUERZA POPULAR,Orange
MADRE DE DIOS,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
MOQUEGUA,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
PASCO,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
PIURA,FUERZA POPULAR,Orange
PUNO,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
SAN MARTIN,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
TACNA,PARTIDO POLITICO NACIONAL PERU LIBRE,Red
TUMBES,FUERZA POPULAR,Orange
UCAYALI,FUERZA POPULAR,Orange
